participant_id,cohort_year,survey_date,age_at_enrollment,grade_level,race_ethnicity,gender,high_school,title_1_school,family_income_range,household_size,first_generation_college,program_track,transportation_barrier,childcare_needs,act_composite_pre,act_english_pre,act_math_pre,act_reading_pre,act_science_pre,sat_total_pre,sat_math_pre,sat_verbal_pre,gpa_pre,college_readiness_self_rating,study_hours_per_week,career_confidence_rating,academic_support_at_home,technology_access,post_secondary_plan
CYC2019001,2019,2019-08-18,16,11th,Multiracial,Female,East Mecklenburg High School,Yes,"Under $25,000",7,Yes,College Prep,No,No,22,21,19,25,22,1120,550,570,2.89,8,0,3,Moderate,Limited access,Trade school
CYC2019002,2019,2019-09-16,14,9th,Hispanic/Latino,Female,Vance High School,Yes,"Under $25,000",2,Yes,Career Readiness,Yes,No,22,25,24,26,24,1340,610,730,2.74,8,13,4,Strong,No reliable access,Trade school
CYC2019003,2019,2019-08-27,16,11th,White,Female,Harding University High School,Yes,"$40,000-$59,999",1,Yes,Career Readiness,No,No,16,19,15,20,19,1210,660,550,2.14,5,5,3,None,Limited access,Work
CYC2019004,2019,2019-10-02,18,12th,Black or African American,Male,Rocky River High School,Yes,"Under $25,000",7,Yes,College Prep,Yes,N/A,16,16,17,14,14,1040,570,470,1.49,6,9,9,Limited,Good access,Community college
CYC2019005,2019,2019-09-01,16,11th,Multiracial,Male,Rocky River High School,No,"Under $25,000",7,Yes,Dual Track,Yes,No,20,23,21,20,20,1030,520,510,3.35,8,3,7,None,Limited access,4-year college
CYC2019006,2019,2019-10-20,17,12th,Black or African American,Male,Garinger High School,Yes,"$40,000-$59,999",2,Yes,Career Readiness,No,N/A,14,12,13,15,16,1330,660,670,1.03,4,1,3,Strong,No reliable access,Work
CYC2019007,2019,2019-10-06,17,11th,White,Male,South Mecklenburg High School,Yes,"$25,000-$39,999",3,Yes,College Prep,No,No,19,22,18,22,19,800,390,410,3.5,1,10,9,Limited,Limited access,Undecided
CYC2019008,2019,2019-10-13,17,12th,Hispanic/Latino,Female,North Mecklenburg High School,No,"$25,000-$39,999",3,Yes,Career Readiness,No,No,16,13,13,17,16,990,500,490,1.97,10,4,9,Moderate,Limited access,Community college
CYC2019009,2019,2019-09-09,16,11th,Black or African American,Female,South Mecklenburg High School,No,"$25,000-$39,999",4,Yes,Dual Track,No,Yes,15,16,16,17,17,1010,490,520,4,3,5,8,None,No reliable access,4-year college
CYC2019010,2019,2019-08-31,17,12th,Hispanic/Latino,Male,North Mecklenburg High School,Yes,"$40,000-$59,999",3,Yes,Career Readiness,No,N/A,15,12,11,16,16,560,280,280,2.24,7,12,2,Strong,No reliable access,Trade school
CYC2019011,2019,2019-09-28,16,11th,Hispanic/Latino,Female,Providence High School,Yes,"$40,000-$59,999",7,Yes,College Prep,No,N/A,12,12,10,14,13,920,460,460,1.96,5,0,4,Limited,No reliable access,Community college
CYC2019012,2019,2019-09-20,17,12th,Black or African American,Female,North Mecklenburg High School,Yes,"$25,000-$39,999",5,Yes,Career Readiness,No,No,16,13,14,17,16,1040,560,480,2.43,1,3,2,None,Limited access,4-year college
CYC2019013,2019,2019-09-28,14,9th,Multiracial,Female,East Mecklenburg High School,No,"Under $25,000",6,Unknown,Career Readiness,No,No,17,15,18,18,20,470,240,230,3.45,8,16,4,Limited,No reliable access,Undecided
CYC2019014,2019,2019-10-13,18,12th,Hispanic/Latino,Female,East Mecklenburg High School,No,"$40,000-$59,999",3,No,Career Readiness,Yes,No,22,25,22,22,19,1050,550,500,1,8,8,7,None,Limited access,Trade school
CYC2019015,2019,2019-09-12,17,12th,Black or African American,Female,Charlotte Catholic High School,No,"$60,000-$79,999",6,Yes,Career Readiness,Yes,No,14,14,12,17,11,930,500,430,2.15,8,0,6,None,Good access,Community college
CYC2019016,2019,2019-09-19,18,12th,White,Male,Garinger High School,Yes,"$40,000-$59,999",2,Yes,Career Readiness,No,N/A,25,27,21,23,28,1060,520,540,2.64,1,8,1,Strong,Limited access,4-year college
CYC2019017,2019,2019-10-07,15,10th,Hispanic/Latino,Male,East Mecklenburg High School,Yes,"$25,000-$39,999",1,Yes,College Prep,Yes,No,21,21,18,22,19,1110,540,570,2.52,7,8,2,Limited,Limited access,Community college
CYC2019018,2019,2019-10-03,16,11th,Black or African American,Female,Ardrey Kell High School,Yes,"$40,000-$59,999",7,Yes,College Prep,No,No,15,17,16,15,15,1240,670,570,2.49,7,4,5,Limited,Limited access,4-year college
CYC2019019,2019,2019-08-31,17,12th,Hispanic/Latino,Female,Charlotte Catholic High School,Yes,"$100,000+",5,Yes,College Prep,No,No,28,31,24,28,30,680,360,320,2.14,8,5,6,Moderate,No reliable access,4-year college
CYC2019020,2019,2019-10-07,15,10th,White,Female,East Mecklenburg High School,No,"$40,000-$59,999",2,Yes,Dual Track,Yes,No,13,12,11,11,10,990,530,460,1.49,3,8,4,None,Limited access,4-year college
CYC2019021,2019,2019-09-22,17,11th,White,Male,Julius Chambers High School,Yes,"$100,000+",1,Yes,Career Readiness,Yes,No,24,26,23,27,24,870,410,460,4,6,12,5,Moderate,No reliable access,4-year college
CYC2019022,2019,2019-09-23,17,12th,Hispanic/Latino,Male,Independence High School,Yes,"$80,000-$99,999",4,Yes,Career Readiness,No,No,13,13,15,16,11,990,500,490,1.24,1,4,4,Moderate,Limited access,Trade school
