participant_id,cohort_year,enrollment_date,survey_date,completion_status,age_at_enrollment,grade_level,race_ethnicity,gender,high_school,title_1_school,family_income_range,household_size,first_generation_college,program_track,transportation_barrier,childcare_needs,cohort_year_pre,age_at_enrollment_pre,grade_level_pre,race_ethnicity_pre,gender_pre,high_school_pre,title_1_school_pre,family_income_range_pre,household_size_pre,first_generation_college_pre,program_track_pre,transportation_barrier_pre,childcare_needs_pre,act_composite_pre,act_english_pre,act_math_pre,act_reading_pre,act_science_pre,sat_total_pre,sat_math_pre,sat_verbal_pre,gpa_pre,college_readiness_self_rating,study_hours_per_week,career_confidence_rating,academic_support_at_home,technology_access,post_secondary_plan,cohort_year_post,age_at_enrollment_post,grade_level_post,race_ethnicity_post,gender_post,high_school_post,title_1_school_post,family_income_range_post,household_size_post,first_generation_college_post,program_track_post,transportation_barrier_post,childcare_needs_post,act_composite_pre_post,act_english_pre_post,act_math_pre_post,act_reading_pre_post,act_science_pre_post,sat_total_pre_post,sat_math_pre_post,sat_verbal_pre_post,gpa_pre_post,college_readiness_self_rating_post,study_hours_per_week_post,career_confidence_rating_post,academic_support_at_home_post,technology_access_post,post_secondary_plan_post,act_composite_post,act_english_post,act_math_post,act_reading_post,act_science_post,sat_total_post,sat_math_post,sat_verbal_post,gpa_post,college_readiness_self_rating_post_post,study_hours_per_week_post_post,career_confidence_rating_post_post,post_secondary_enrollment,scholarship_received,scholarship_amount,program_satisfaction,would_recommend,act_improvement,sat_improvement,gpa_improvement,readiness_improvement,career_confidence_improvement,program_duration_days,race_ethnicity_std,income_level,academic_level_pre,act_met_improvement_goal,sat_met_improvement_goal,gpa_met_improvement_goal
CYC2019001,2019,2019-08-15,2019-08-18,Completed,16,11th,Multiracial,Female,East Mecklenburg High School,Yes,"Under $25,000",7,Yes,College Prep,No,No,2019,16,11th,Multiracial,Female,East Mecklenburg High School,Yes,"Under $25,000",7,Yes,College Prep,No,No,22,21,19,25,22,1120,550,570,2.89,8,0,3,Moderate,Limited access,Trade school,2019,16,11th,Multiracial,Female,East Mecklenburg High School,Yes,"Under $25,000",7,Yes,College Prep,No,No,22,21,19,25,22,1120,550,570,2.89,8,0,3,Moderate,Limited access,Trade school,24,22,23,24,26,1180,610,570,3.377820969206635,10,0,5,Enrolled 4-year,Yes,1500,5,Probably,2,60,0.4878209692066351,2,2,310,Other/Multiracial,Low Income,Proficient,TRUE,FALSE,TRUE
CYC2019002,2019,2019-09-08,2019-09-16,Did Not Complete,14,9th,Hispanic/Latino,Female,Vance High School,Yes,"Under $25,000",2,Yes,Career Readiness,Yes,No,2019,14,9th,Hispanic/Latino,Female,Vance High School,Yes,"Under $25,000",2,Yes,Career Readiness,Yes,No,22,25,24,26,24,1340,610,730,2.74,8,13,4,Strong,No reliable access,Trade school,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hispanic/Latino,Low Income,High Achieving,FALSE,FALSE,FALSE
CYC2019003,2019,2019-08-24,2019-08-27,Completed,16,11th,White,Female,Harding University High School,Yes,"$40,000-$59,999",1,Yes,Career Readiness,No,No,2019,16,11th,White,Female,Harding University High School,Yes,"$40,000-$59,999",1,Yes,Career Readiness,No,No,16,19,15,20,19,1210,660,550,2.14,5,5,3,None,Limited access,Work,2019,16,11th,White,Female,Harding University High School,Yes,"$40,000-$59,999",1,Yes,Career Readiness,No,No,16,19,15,20,19,1210,660,550,2.14,5,5,3,None,Limited access,Work,20,18,17,19,18,1320,660,660,2.851726368402085,7,6.8021539413204115,6,Enrolled 4-year,No,NA,4,Probably,4,110,0.7117263684020849,2,3,374,White,Middle Income,High Achieving,TRUE,TRUE,TRUE
CYC2019004,2019,2019-09-19,2019-10-02,Did Not Complete,18,12th,Black or African American,Male,Rocky River High School,Yes,"Under $25,000",7,Yes,College Prep,Yes,N/A,2019,18,12th,Black or African American,Male,Rocky River High School,Yes,"Under $25,000",7,Yes,College Prep,Yes,N/A,16,16,17,14,14,1040,570,470,1.49,6,9,9,Limited,Good access,Community college,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black/African American,Low Income,Proficient,FALSE,FALSE,FALSE
CYC2019005,2019,2019-09-01,2019-09-01,Completed,16,11th,Multiracial,Male,Rocky River High School,No,"Under $25,000",7,Yes,Dual Track,Yes,No,2019,16,11th,Multiracial,Male,Rocky River High School,No,"Under $25,000",7,Yes,Dual Track,Yes,No,20,23,21,20,20,1030,520,510,3.35,8,3,7,None,Limited access,4-year college,2019,16,11th,Multiracial,Male,Rocky River High School,No,"Under $25,000",7,Yes,Dual Track,Yes,No,20,23,21,20,20,1030,520,510,3.35,8,3,7,None,Limited access,4-year college,24,24,21,22,26,1110,610,500,3.804295087244987,8,5.926040458730858,9,Working,No,NA,5,Definitely,4,80,0.4542950872449869,0,2,397,Other/Multiracial,Low Income,Proficient,TRUE,TRUE,TRUE
CYC2019006,2019,2019-10-11,2019-10-20,Did Not Complete,17,12th,Black or African American,Male,Garinger High School,Yes,"$40,000-$59,999",2,Yes,Career Readiness,No,N/A,2019,17,12th,Black or African American,Male,Garinger High School,Yes,"$40,000-$59,999",2,Yes,Career Readiness,No,N/A,14,12,13,15,16,1330,660,670,1.03,4,1,3,Strong,No reliable access,Work,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black/African American,Middle Income,High Achieving,FALSE,FALSE,FALSE
CYC2019007,2019,2019-10-02,2019-10-06,Completed,17,11th,White,Male,South Mecklenburg High School,Yes,"$25,000-$39,999",3,Yes,College Prep,No,No,2019,17,11th,White,Male,South Mecklenburg High School,Yes,"$25,000-$39,999",3,Yes,College Prep,No,No,19,22,18,22,19,800,390,410,3.5,1,10,9,Limited,Limited access,Undecided,2019,17,11th,White,Male,South Mecklenburg High School,Yes,"$25,000-$39,999",3,Yes,College Prep,No,No,19,22,18,22,19,800,390,410,3.5,1,10,9,Limited,Limited access,Undecided,21,20,23,23,23,850,450,400,3.855448788708502,4,13.92800368955407,10,Enrolled 4-year,No,NA,3,Maybe,2,50,0.35544878870850205,3,1,337,White,Low Income,Developing,TRUE,FALSE,TRUE
CYC2019008,2019,2019-09-30,2019-10-13,Completed,17,12th,Hispanic/Latino,Female,North Mecklenburg High School,No,"$25,000-$39,999",3,Yes,Career Readiness,No,No,2019,17,12th,Hispanic/Latino,Female,North Mecklenburg High School,No,"$25,000-$39,999",3,Yes,Career Readiness,No,No,16,13,13,17,16,990,500,490,1.97,10,4,9,Moderate,Limited access,Community college,2019,17,12th,Hispanic/Latino,Female,North Mecklenburg High School,No,"$25,000-$39,999",3,Yes,Career Readiness,No,No,16,13,13,17,16,990,500,490,1.97,10,4,9,Moderate,Limited access,Community college,18,18,16,18,18,1120,520,600,2.230806772249638,10,5.796512698435983,10,Enrolled 4-year,No,NA,4,Definitely,2,130,0.2608067722496379,0,1,304,Hispanic/Latino,Low Income,Developing,TRUE,TRUE,TRUE
CYC2019009,2019,2019-09-07,2019-09-09,Did Not Complete,16,11th,Black or African American,Female,South Mecklenburg High School,No,"$25,000-$39,999",4,Yes,Dual Track,No,Yes,2019,16,11th,Black or African American,Female,South Mecklenburg High School,No,"$25,000-$39,999",4,Yes,Dual Track,No,Yes,15,16,16,17,17,1010,490,520,4,3,5,8,None,No reliable access,4-year college,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black/African American,Low Income,Proficient,FALSE,FALSE,FALSE
CYC2019010,2019,2019-08-21,2019-08-31,Completed,17,12th,Hispanic/Latino,Male,North Mecklenburg High School,Yes,"$40,000-$59,999",3,Yes,Career Readiness,No,N/A,2019,17,12th,Hispanic/Latino,Male,North Mecklenburg High School,Yes,"$40,000-$59,999",3,Yes,Career Readiness,No,N/A,15,12,11,16,16,560,280,280,2.24,7,12,2,Strong,No reliable access,Trade school,2019,17,12th,Hispanic/Latino,Male,North Mecklenburg High School,Yes,"$40,000-$59,999",3,Yes,Career Readiness,No,N/A,15,12,11,16,16,560,280,280,2.24,7,12,2,Strong,No reliable access,Trade school,20,21,21,18,18,700,340,360,2.2517238423514705,7,12.073129349821857,3,Enrolled 4-year,No,NA,5,Definitely,5,140,0.01172384235147028,0,1,350,Hispanic/Latino,Middle Income,Developing,TRUE,TRUE,FALSE
