participant_id,cohort_year,session_week,session_date,session_type,attended,hours_participated,tutor_assigned
CYC2021001,2021,1,2021-10-05,College Planning,Present,2,TUTOR04
CYC2021001,2021,2,2021-10-12,Test Prep,Absent,0,TUTOR11
CYC2021001,2021,3,2021-10-19,Leadership,Present,1.5,TUTOR10
CYC2021001,2021,4,2021-10-26,College Planning,Present,1.5,TUTOR10
CYC2021001,2021,5,2021-11-02,Financial Literacy,Present,1.5,TUTOR02
CYC2021001,2021,6,2021-11-09,Career Exploration,Present,2.5,TUTOR04
CYC2021001,2021,7,2021-11-16,Study Skills,Present,3,TUTOR06
CYC2021001,2021,8,2021-11-23,Financial Literacy,Present,1.5,TUTOR05
CYC2021001,2021,9,2021-11-30,Study Skills,Present,2,TUTOR06
CYC2021001,2021,10,2021-12-07,Career Exploration,Present,1.5,TUTOR08
CYC2021001,2021,11,2021-12-14,Career Exploration,Present,2.5,TUTOR10
CYC2021001,2021,12,2021-12-21,Financial Literacy,Absent,0,TUTOR02
CYC2021001,2021,13,2021-12-28,Test Prep,Present,1.5,TUTOR02
CYC2021001,2021,14,2022-01-04,Financial Literacy,Absent,0,TUTOR11
CYC2021001,2021,15,2022-01-11,Tutoring,Present,1.5,TUTOR10
CYC2021001,2021,16,2022-01-18,Career Exploration,Present,1.5,TUTOR01
CYC2021001,2021,17,2022-01-25,Study Skills,Present,2,TUTOR09
CYC2021001,2021,18,2022-02-01,Financial Literacy,Present,2.5,TUTOR07
CYC2021001,2021,19,2022-02-08,Study Skills,Present,1.5,TUTOR12
CYC2021001,2021,20,2022-02-15,Tutoring,Present,2,TUTOR03
CYC2021001,2021,21,2022-02-22,Test Prep,Present,2,TUTOR10
CYC2021001,2021,22,2022-03-01,Financial Literacy,Present,2.5,TUTOR04
CYC2021001,2021,23,2022-03-08,Leadership,Present,3,TUTOR11
CYC2021001,2021,24,2022-03-15,Career Exploration,Present,2.5,TUTOR07
CYC2021001,2021,25,2022-03-22,Test Prep,Present,2,TUTOR01
CYC2021001,2021,26,2022-03-29,Study Skills,Present,2,TUTOR04
CYC2021001,2021,27,2022-04-05,Study Skills,Absent,0,TUTOR09
CYC2021001,2021,28,2022-04-12,Leadership,Present,2.5,TUTOR01
CYC2021001,2021,29,2022-04-19,Financial Literacy,Present,2.5,TUTOR12
CYC2021001,2021,30,2022-04-26,Leadership,Present,2.5,TUTOR01
CYC2021001,2021,31,2022-05-03,Study Skills,Absent,0,TUTOR01
CYC2021001,2021,32,2022-05-10,Financial Literacy,Present,2.5,TUTOR05
CYC2021001,2021,33,2022-05-17,Financial Literacy,Present,1.5,TUTOR03
CYC2021001,2021,34,2022-05-24,Leadership,Excused,0,TUTOR06
CYC2021002,2021,1,2021-09-30,Leadership,Present,2,TUTOR01
CYC2021002,2021,2,2021-10-07,Tutoring,Present,3,TUTOR02
CYC2021002,2021,3,2021-10-14,College Planning,Present,2,TUTOR02
CYC2021002,2021,4,2021-10-21,Career Exploration,Present,2.5,TUTOR04
CYC2021002,2021,5,2021-10-28,Test Prep,Present,3,TUTOR09
CYC2021002,2021,6,2021-11-04,Tutoring,Absent,0,TUTOR09
CYC2021002,2021,7,2021-11-11,Financial Literacy,Present,1.5,TUTOR05
CYC2021002,2021,8,2021-11-18,Study Skills,Present,2.5,TUTOR08
CYC2021002,2021,9,2021-11-25,Study Skills,Present,2.5,TUTOR12
CYC2021002,2021,10,2021-12-02,Career Exploration,Present,2,TUTOR12
CYC2021002,2021,11,2021-12-09,Tutoring,Present,1.5,TUTOR02
CYC2021002,2021,12,2021-12-16,Career Exploration,Present,2,TUTOR01
CYC2021002,2021,13,2021-12-23,Career Exploration,Present,2.5,TUTOR01
CYC2021002,2021,14,2021-12-30,Leadership,Present,2,TUTOR01
CYC2021002,2021,15,2022-01-06,Financial Literacy,Present,1.5,TUTOR10
CYC2021002,2021,16,2022-01-13,Study Skills,Present,3,TUTOR06
CYC2021002,2021,17,2022-01-20,Financial Literacy,Present,2,TUTOR12
CYC2021002,2021,18,2022-01-27,College Planning,Present,2,TUTOR09
CYC2021002,2021,19,2022-02-03,Tutoring,Present,2.5,TUTOR09
CYC2021002,2021,20,2022-02-10,Study Skills,Present,2.5,TUTOR08
CYC2021002,2021,21,2022-02-17,College Planning,Absent,0,TUTOR08
CYC2021002,2021,22,2022-02-24,Career Exploration,Absent,0,TUTOR03
CYC2021002,2021,23,2022-03-03,Financial Literacy,Present,3,TUTOR11
CYC2021002,2021,24,2022-03-10,Financial Literacy,Present,2,TUTOR08
CYC2021002,2021,25,2022-03-17,Financial Literacy,Present,1.5,TUTOR03
CYC2021002,2021,26,2022-03-24,Tutoring,Present,2,TUTOR05
CYC2021002,2021,27,2022-03-31,Leadership,Present,1.5,TUTOR01
CYC2021002,2021,28,2022-04-07,Study Skills,Present,2,TUTOR05
CYC2021002,2021,29,2022-04-14,Leadership,Present,2.5,TUTOR02
CYC2021002,2021,30,2022-04-21,College Planning,Present,1.5,TUTOR10
CYC2021002,2021,31,2022-04-28,Leadership,Present,2,TUTOR12
CYC2021002,2021,32,2022-05-05,Tutoring,Excused,0,TUTOR12
CYC2021002,2021,33,2022-05-12,Tutoring,Absent,0,TUTOR02
CYC2021002,2021,34,2022-05-19,Test Prep,Present,1.5,TUTOR06
CYC2021002,2021,35,2022-05-26,Career Exploration,Absent,0,TUTOR03
CYC2021002,2021,36,2022-06-02,College Planning,Present,2.5,TUTOR02
CYC2021003,2021,1,2021-09-03,Test Prep,Present,2,TUTOR10
CYC2021003,2021,2,2021-09-10,Career Exploration,Present,2.5,TUTOR11
CYC2021003,2021,3,2021-09-17,Test Prep,Present,2.5,TUTOR04
CYC2021003,2021,4,2021-09-24,Study Skills,Present,2,TUTOR08
CYC2021003,2021,5,2021-10-01,Study Skills,Present,2.5,TUTOR06
CYC2021003,2021,6,2021-10-08,Financial Literacy,Absent,0,TUTOR04
CYC2021003,2021,7,2021-10-15,Career Exploration,Present,1.5,TUTOR07
CYC2021003,2021,8,2021-10-22,College Planning,Present,3,TUTOR02
CYC2021003,2021,9,2021-10-29,Tutoring,Present,2.5,TUTOR04
CYC2021003,2021,10,2021-11-05,Career Exploration,Present,2,TUTOR09
CYC2021003,2021,11,2021-11-12,Financial Literacy,Absent,0,TUTOR04
CYC2021003,2021,12,2021-11-19,Leadership,Present,2,TUTOR05
CYC2021003,2021,13,2021-11-26,Test Prep,Present,2.5,TUTOR01
CYC2021003,2021,14,2021-12-03,Financial Literacy,Present,2,TUTOR05
CYC2021003,2021,15,2021-12-10,Career Exploration,Absent,0,TUTOR01
CYC2021003,2021,16,2021-12-17,Test Prep,Present,2,TUTOR11
CYC2021003,2021,17,2021-12-24,Test Prep,Present,1.5,TUTOR01
CYC2021003,2021,18,2021-12-31,Career Exploration,Excused,0,TUTOR01
CYC2021003,2021,19,2022-01-07,Tutoring,Present,3,TUTOR07
CYC2021003,2021,20,2022-01-14,Tutoring,Present,2,TUTOR12
CYC2021003,2021,21,2022-01-21,Tutoring,Absent,0,TUTOR04
CYC2021003,2021,22,2022-01-28,College Planning,Present,2.5,TUTOR11
CYC2021003,2021,23,2022-02-04,College Planning,Present,2,TUTOR02
CYC2021003,2021,24,2022-02-11,Career Exploration,Present,1.5,TUTOR04
CYC2021003,2021,25,2022-02-18,Career Exploration,Present,2.5,TUTOR04
CYC2021003,2021,26,2022-02-25,Financial Literacy,Absent,0,TUTOR01
CYC2021003,2021,27,2022-03-04,Financial Literacy,Present,2.5,TUTOR05
CYC2021003,2021,28,2022-03-11,Financial Literacy,Present,2,TUTOR01
CYC2021003,2021,29,2022-03-18,Test Prep,Present,2,TUTOR09
CYC2021003,2021,30,2022-03-25,Career Exploration,Present,2.5,TUTOR03
CYC2021004,2021,1,2021-09-01,College Planning,Present,2.5,TUTOR03
CYC2021004,2021,2,2021-09-08,College Planning,Present,3,TUTOR03
CYC2021004,2021,3,2021-09-15,Financial Literacy,Present,2,TUTOR06
CYC2021004,2021,4,2021-09-22,Study Skills,Present,1.5,TUTOR08
CYC2021004,2021,5,2021-09-29,Tutoring,Absent,0,TUTOR02
CYC2021004,2021,6,2021-10-06,College Planning,Excused,0,TUTOR03
CYC2021004,2021,7,2021-10-13,Career Exploration,Present,2,TUTOR11
CYC2021004,2021,8,2021-10-20,College Planning,Present,2,TUTOR10
CYC2021004,2021,9,2021-10-27,Test Prep,Present,2,TUTOR03
CYC2021004,2021,10,2021-11-03,Study Skills,Present,2.5,TUTOR11
CYC2021004,2021,11,2021-11-10,Test Prep,Present,3,TUTOR09
CYC2021004,2021,12,2021-11-17,Study Skills,Present,2,TUTOR12
CYC2021004,2021,13,2021-11-24,Test Prep,Present,2,TUTOR12
CYC2021004,2021,14,2021-12-01,College Planning,Present,2,TUTOR06
CYC2021004,2021,15,2021-12-08,College Planning,Present,2.5,TUTOR08
CYC2021004,2021,16,2021-12-15,College Planning,Present,2.5,TUTOR03
CYC2021004,2021,17,2021-12-22,Leadership,Absent,0,TUTOR08
CYC2021004,2021,18,2021-12-29,College Planning,Present,2,TUTOR11
CYC2021004,2021,19,2022-01-05,Study Skills,Present,1.5,TUTOR10
CYC2021004,2021,20,2022-01-12,Career Exploration,Absent,0,TUTOR09
CYC2021004,2021,21,2022-01-19,Leadership,Present,1.5,TUTOR10
CYC2021004,2021,22,2022-01-26,Test Prep,Present,2,TUTOR09
CYC2021004,2021,23,2022-02-02,College Planning,Absent,0,TUTOR12
CYC2021004,2021,24,2022-02-09,Test Prep,Absent,0,TUTOR06
CYC2021004,2021,25,2022-02-16,Leadership,Present,1.5,TUTOR01
CYC2021004,2021,26,2022-02-23,Financial Literacy,Present,1.5,TUTOR10
CYC2021004,2021,27,2022-03-02,College Planning,Absent,0,TUTOR10
CYC2021004,2021,28,2022-03-09,College Planning,Present,3,TUTOR05
CYC2021004,2021,29,2022-03-16,Tutoring,Present,2,TUTOR06
CYC2021004,2021,30,2022-03-23,Leadership,Absent,0,TUTOR07
CYC2021004,2021,31,2022-03-30,Study Skills,Present,2.5,TUTOR09
CYC2021004,2021,32,2022-04-06,Leadership,Absent,0,TUTOR06
CYC2021004,2021,33,2022-04-13,Study Skills,Present,2,TUTOR10
CYC2021004,2021,34,2022-04-20,Career Exploration,Absent,0,TUTOR10
CYC2021005,2021,1,2021-09-23,Tutoring,Present,2,TUTOR11
CYC2021005,2021,2,2021-09-30,Study Skills,Present,1.5,TUTOR12
CYC2021005,2021,3,2021-10-07,Leadership,Present,2,TUTOR03
CYC2021005,2021,4,2021-10-14,Career Exploration,Present,2.5,TUTOR06
CYC2021005,2021,5,2021-10-21,Leadership,Absent,0,TUTOR07
CYC2021005,2021,6,2021-10-28,Study Skills,Absent,0,TUTOR06
CYC2021005,2021,7,2021-11-04,Career Exploration,Present,1.5,TUTOR01
CYC2021005,2021,8,2021-11-11,Leadership,Present,2,TUTOR11
CYC2021005,2021,9,2021-11-18,Financial Literacy,Excused,0,TUTOR06
CYC2021005,2021,10,2021-11-25,Study Skills,Present,2,TUTOR02
CYC2021005,2021,11,2021-12-02,Tutoring,Present,1.5,TUTOR03
CYC2021005,2021,12,2021-12-09,Test Prep,Present,1.5,TUTOR07
CYC2021005,2021,13,2021-12-16,Test Prep,Present,1.5,TUTOR06
CYC2021005,2021,14,2021-12-23,Tutoring,Present,3,TUTOR12
CYC2021005,2021,15,2021-12-30,Career Exploration,Present,2.5,TUTOR08
CYC2021005,2021,16,2022-01-06,Leadership,Present,3,TUTOR01
CYC2021005,2021,17,2022-01-13,Study Skills,Present,2,TUTOR02
CYC2021005,2021,18,2022-01-20,Financial Literacy,Present,2,TUTOR09
CYC2021005,2021,19,2022-01-27,Leadership,Present,2,TUTOR09
CYC2021005,2021,20,2022-02-03,Test Prep,Present,2.5,TUTOR07
CYC2021005,2021,21,2022-02-10,Tutoring,Present,2,TUTOR02
CYC2021005,2021,22,2022-02-17,Leadership,Present,2,TUTOR10
CYC2021005,2021,23,2022-02-24,Tutoring,Present,2,TUTOR03
CYC2021005,2021,24,2022-03-03,Study Skills,Present,2,TUTOR12
CYC2021005,2021,25,2022-03-10,Leadership,Present,2,TUTOR11
CYC2021005,2021,26,2022-03-17,Financial Literacy,Present,2.5,TUTOR04
CYC2021005,2021,27,2022-03-24,Leadership,Present,2,TUTOR09
CYC2021005,2021,28,2022-03-31,Financial Literacy,Present,2.5,TUTOR05
CYC2021005,2021,29,2022-04-07,College Planning,Present,2,TUTOR06
CYC2021005,2021,30,2022-04-14,College Planning,Present,2,TUTOR03
CYC2021005,2021,31,2022-04-21,Financial Literacy,Present,2,TUTOR02
CYC2021005,2021,32,2022-04-28,Test Prep,Present,2,TUTOR01
CYC2021005,2021,33,2022-05-05,Career Exploration,Absent,0,TUTOR06
CYC2021005,2021,34,2022-05-12,Financial Literacy,Absent,0,TUTOR07
CYC2021005,2021,35,2022-05-19,Financial Literacy,Present,2,TUTOR04
CYC2021005,2021,36,2022-05-26,Test Prep,Present,1.5,TUTOR09
CYC2021006,2021,1,2021-09-06,College Planning,Present,2,TUTOR06
CYC2021006,2021,2,2021-09-13,Career Exploration,Present,1.5,TUTOR12
CYC2021006,2021,3,2021-09-20,College Planning,Present,2,TUTOR11
CYC2021006,2021,4,2021-09-27,Career Exploration,Present,1.5,TUTOR06
CYC2021006,2021,5,2021-10-04,Test Prep,Absent,0,TUTOR10
CYC2021006,2021,6,2021-10-11,College Planning,Present,2,TUTOR02
CYC2021006,2021,7,2021-10-18,Test Prep,Present,2.5,TUTOR08
CYC2021006,2021,8,2021-10-25,Test Prep,Present,3,TUTOR12
CYC2021006,2021,9,2021-11-01,Leadership,Absent,0,TUTOR07
CYC2021006,2021,10,2021-11-08,Financial Literacy,Present,2,TUTOR09
CYC2021006,2021,11,2021-11-15,Test Prep,Present,1.5,TUTOR10
CYC2021006,2021,12,2021-11-22,Tutoring,Absent,0,TUTOR06
CYC2021006,2021,13,2021-11-29,Tutoring,Present,1.5,TUTOR11
CYC2021006,2021,14,2021-12-06,Financial Literacy,Present,1.5,TUTOR10
CYC2021006,2021,15,2021-12-13,Leadership,Present,2,TUTOR09
CYC2021006,2021,16,2021-12-20,Career Exploration,Present,2,TUTOR03
CYC2021006,2021,17,2021-12-27,Leadership,Absent,0,TUTOR11
CYC2021006,2021,18,2022-01-03,College Planning,Present,2,TUTOR11
CYC2021006,2021,19,2022-01-10,Career Exploration,Present,1.5,TUTOR10
CYC2021006,2021,20,2022-01-17,Career Exploration,Present,2,TUTOR03
CYC2021006,2021,21,2022-01-24,Study Skills,Present,2.5,TUTOR01
CYC2021006,2021,22,2022-01-31,Leadership,Present,2.5,TUTOR04
CYC2021006,2021,23,2022-02-07,Tutoring,Present,2,TUTOR12
CYC2021006,2021,24,2022-02-14,College Planning,Present,2.5,TUTOR02
CYC2021006,2021,25,2022-02-21,Study Skills,Absent,0,TUTOR04
CYC2021006,2021,26,2022-02-28,Leadership,Present,3,TUTOR11
CYC2021006,2021,27,2022-03-07,Career Exploration,Present,2,TUTOR02
CYC2021006,2021,28,2022-03-14,College Planning,Present,2,TUTOR05
CYC2021006,2021,29,2022-03-21,Leadership,Absent,0,TUTOR11
CYC2021007,2021,1,2021-10-01,Study Skills,Absent,0,TUTOR01
CYC2021007,2021,2,2021-10-08,Study Skills,Present,1.5,TUTOR03
CYC2021007,2021,3,2021-10-15,College Planning,Present,2,TUTOR01
CYC2021007,2021,4,2021-10-22,Test Prep,Present,3,TUTOR11
CYC2021007,2021,5,2021-10-29,Career Exploration,Present,2.5,TUTOR08
CYC2021007,2021,6,2021-11-05,Financial Literacy,Absent,0,TUTOR11
CYC2021007,2021,7,2021-11-12,Leadership,Present,2,TUTOR10
CYC2021007,2021,8,2021-11-19,Career Exploration,Excused,0,TUTOR12
CYC2021007,2021,9,2021-11-26,Study Skills,Present,2,TUTOR06
CYC2021007,2021,10,2021-12-03,Tutoring,Present,3,TUTOR08
CYC2021007,2021,11,2021-12-10,Career Exploration,Present,2.5,TUTOR12
CYC2021007,2021,12,2021-12-17,Financial Literacy,Present,2.5,TUTOR05
CYC2021007,2021,13,2021-12-24,Test Prep,Present,2,TUTOR04
CYC2021007,2021,14,2021-12-31,Career Exploration,Present,2.5,TUTOR08
CYC2021007,2021,15,2022-01-07,Financial Literacy,Absent,0,TUTOR06
CYC2021007,2021,16,2022-01-14,Tutoring,Present,2.5,TUTOR06
CYC2021007,2021,17,2022-01-21,Study Skills,Present,3,TUTOR05
CYC2021007,2021,18,2022-01-28,Test Prep,Present,2,TUTOR12
CYC2021007,2021,19,2022-02-04,Test Prep,Present,2.5,TUTOR04
CYC2021007,2021,20,2022-02-11,Test Prep,Present,2,TUTOR09
