participant_id,cohort_year,total_sessions_offered,sessions_attended,sessions_excused,sessions_absent,attendance_rate,total_hours,avg_session_length,test_prep_sessions,college_planning_sessions,tutoring_sessions,program_start_date,program_end_date,consistent_attendance,high_engagement,engagement_level
CYC2019001,2019,32,24,2,6,75,52.5,2.2,4,5,3,2019-08-15,2020-03-19,TRUE,FALSE,Moderate Engagement
CYC2019002,2019,33,22,4,7,66.7,49,2.2,1,3,2,2019-09-08,2020-04-19,FALSE,FALSE,Low Engagement
CYC2019003,2019,33,27,0,6,81.8,57,2.1,4,7,6,2019-08-24,2020-04-04,TRUE,FALSE,Moderate Engagement
CYC2019004,2019,30,21,2,7,70,42,2,5,2,1,2019-09-19,2020-04-09,FALSE,FALSE,Low Engagement
CYC2019005,2019,34,22,1,11,64.7,50.5,2.3,6,4,2,2019-09-01,2020-04-19,FALSE,FALSE,Low Engagement
CYC2019006,2019,36,27,4,5,75,58.5,2.2,7,3,0,2019-10-11,2020-06-12,TRUE,FALSE,Moderate Engagement
CYC2019007,2019,31,21,1,9,67.7,45,2.1,4,1,2,2019-10-02,2020-04-29,FALSE,FALSE,Low Engagement
CYC2019008,2019,28,23,1,4,82.1,48,2.1,2,4,5,2019-09-30,2020-04-06,TRUE,FALSE,Low Engagement
CYC2019009,2019,32,27,3,2,84.4,57,2.1,3,2,3,2019-09-07,2020-04-11,TRUE,FALSE,Moderate Engagement
CYC2019010,2019,34,31,2,1,91.2,65.5,2.1,5,6,2,2019-08-21,2020-04-08,TRUE,TRUE,Moderate Engagement
CYC2019011,2019,33,24,1,8,72.7,52,2.2,2,3,3,2019-09-19,2020-04-30,FALSE,FALSE,Moderate Engagement
CYC2019012,2019,29,25,1,3,86.2,54.5,2.2,2,4,6,2019-09-08,2020-03-22,TRUE,FALSE,Moderate Engagement
CYC2019013,2019,36,24,1,11,66.7,54.5,2.3,1,5,4,2019-09-20,2020-05-22,FALSE,FALSE,Low Engagement
CYC2019014,2019,34,32,0,2,94.1,66,2.1,5,6,5,2019-09-29,2020-05-17,TRUE,TRUE,Moderate Engagement
CYC2019015,2019,33,24,1,8,72.7,49.5,2.1,2,2,4,2019-09-03,2020-04-14,FALSE,FALSE,Low Engagement
CYC2019016,2019,28,18,1,9,64.3,38,2.1,2,5,3,2019-09-09,2020-03-16,FALSE,FALSE,Low Engagement
CYC2019017,2019,31,22,2,7,71,46.5,2.1,1,4,3,2019-10-03,2020-04-30,FALSE,FALSE,Low Engagement
CYC2019018,2019,35,27,2,6,77.1,59,2.2,3,1,2,2019-09-30,2020-05-25,TRUE,FALSE,Moderate Engagement
CYC2019019,2019,33,21,2,10,63.6,44.5,2.1,5,0,3,2019-08-17,2020-03-28,FALSE,FALSE,Low Engagement
CYC2019020,2019,36,28,1,7,77.8,62.5,2.2,3,0,6,2019-09-24,2020-05-26,TRUE,TRUE,Moderate Engagement
CYC2019021,2019,28,19,1,8,67.9,41,2.2,4,3,4,2019-09-08,2020-03-15,FALSE,FALSE,Low Engagement
CYC2019022,2019,32,24,2,6,75,54,2.2,4,2,1,2019-09-10,2020-04-14,TRUE,FALSE,Moderate Engagement
CYC2019023,2019,31,22,3,6,71,48,2.2,3,2,3,2019-09-19,2020-04-16,FALSE,FALSE,Low Engagement
CYC2019024,2019,29,23,3,3,79.3,50,2.2,3,2,3,2019-09-20,2020-04-03,TRUE,FALSE,Moderate Engagement
CYC2019025,2019,34,26,2,6,76.5,53,2,3,2,2,2019-09-14,2020-05-02,TRUE,FALSE,Moderate Engagement
CYC2019026,2019,28,21,0,7,75,43,2,8,3,2,2019-09-28,2020-04-04,TRUE,FALSE,Low Engagement
CYC2019027,2019,36,26,2,8,72.2,54.5,2.1,5,2,2,2019-08-19,2020-04-20,FALSE,FALSE,Moderate Engagement
CYC2019028,2019,29,24,0,5,82.8,51.5,2.1,2,6,2,2019-09-03,2020-03-17,TRUE,FALSE,Moderate Engagement
CYC2019029,2019,34,27,3,4,79.4,53.5,2,2,3,5,2019-09-17,2020-05-05,TRUE,FALSE,Moderate Engagement
CYC2019030,2019,28,21,1,6,75,42.5,2,1,1,5,2019-09-11,2020-03-18,TRUE,FALSE,Low Engagement
CYC2019031,2019,36,31,1,4,86.1,69,2.2,5,7,4,2019-09-23,2020-05-25,TRUE,TRUE,Moderate Engagement
CYC2019032,2019,32,26,2,4,81.2,58.5,2.2,7,5,1,2019-08-17,2020-03-21,TRUE,FALSE,Moderate Engagement
CYC2019033,2019,30,20,0,10,66.7,44.5,2.2,3,4,1,2019-10-11,2020-05-01,FALSE,FALSE,Low Engagement
CYC2019034,2019,35,27,1,7,77.1,59,2.2,3,4,3,2019-09-16,2020-05-11,TRUE,FALSE,Moderate Engagement
CYC2019035,2019,33,25,1,7,75.8,52.5,2.1,3,2,2,2019-09-25,2020-05-06,TRUE,FALSE,Moderate Engagement
CYC2019036,2019,33,24,3,6,72.7,51.5,2.1,6,4,6,2019-09-07,2020-04-18,FALSE,FALSE,Moderate Engagement
CYC2019037,2019,31,22,2,7,71,46.5,2.1,2,2,1,2019-09-13,2020-04-10,FALSE,FALSE,Low Engagement
CYC2019038,2019,34,22,1,11,64.7,43,2,3,4,2,2019-09-26,2020-05-14,FALSE,FALSE,Low Engagement
CYC2019039,2019,32,23,2,7,71.9,51,2.2,2,4,5,2019-08-29,2020-04-02,FALSE,FALSE,Moderate Engagement
