participant_id,cohort_year,survey_date,age_at_enrollment,grade_level,race_ethnicity,gender,high_school,title_1_school,family_income_range,household_size,first_generation_college,program_track,transportation_barrier,childcare_needs,act_composite_pre,act_english_pre,act_math_pre,act_reading_pre,act_science_pre,sat_total_pre,sat_math_pre,sat_verbal_pre,gpa_pre,college_readiness_self_rating,study_hours_per_week,career_confidence_rating,academic_support_at_home,technology_access,post_secondary_plan,act_composite_post,act_english_post,act_math_post,act_reading_post,act_science_post,sat_total_post,sat_math_post,sat_verbal_post,gpa_post,college_readiness_self_rating_post,study_hours_per_week_post,career_confidence_rating_post,post_secondary_enrollment,scholarship_received,scholarship_amount,program_satisfaction,would_recommend,act_improvement,sat_improvement,gpa_improvement,readiness_improvement,career_confidence_improvement
CYC2020002,2020,2021-10-30,18,12th,Hispanic/Latino,Female,Garinger High School,Yes,"Under $25,000",3,Yes,College Prep,No,No,20,23,22,18,20,830,430,400,2.68,10,4,2,Limited,Good access,Trade school,24,22,21,24,26,920,490,430,3.332852767786698,9,4.039028622522788,4,Enrolled 2-year,No,NA,4,Definitely,4,90,0.652852767786698,-1,2
CYC2020003,2020,2021-09-23,16,11th,Black or African American,Female,North Mecklenburg High School,No,"Under $25,000",1,Yes,College Prep,No,No,14,12,15,12,11,880,450,430,1.93,2,15,6,Strong,No reliable access,Trade school,18,16,19,20,19,1010,470,540,2.5027721901890123,2,19.496116677957115,9,Enrolled 2-year,No,NA,4,Definitely,4,130,0.5727721901890124,0,3
CYC2020005,2020,2021-09-03,18,12th,Black or African American,Female,Independence High School,Yes,"$40,000-$59,999",4,Yes,College Prep,Yes,No,18,15,16,20,20,860,400,460,3.22,7,5,10,Moderate,Limited access,Community college,22,21,24,22,23,890,460,430,3.0785491914546963,7,8.604075876382712,10,Working,No,NA,4,Probably Not,4,30,-0.1414508085453039,0,0
CYC2020006,2020,2021-08-18,17,11th,Black or African American,Male,Hopewell High School,Yes,"Under $25,000",4,Yes,Dual Track,No,No,17,14,19,15,14,1100,520,580,3.31,5,9,5,None,Good access,4-year college,23,21,24,26,21,1120,600,520,4,9,13.066470506362116,7,Enrolled 4-year,No,NA,4,Probably,6,20,0.69,4,2
CYC2020009,2020,2021-10-29,17,12th,Black or African American,Male,Garinger High School,Yes,"$25,000-$39,999",6,Yes,College Prep,No,No,19,22,21,23,18,1130,580,550,3.57,10,7,5,Moderate,Limited access,Work,21,20,21,23,22,1180,600,580,4,9,9.916670709742407,7,Enrolled 4-year,No,NA,4,Maybe,2,50,0.43000000000000016,-1,2
CYC2020011,2020,2021-08-12,17,12th,Native American,Male,Independence High School,Yes,"Under $25,000",5,Yes,College Prep,No,No,18,16,15,17,16,1100,510,590,1,5,4,2,Moderate,Good access,Community college,18,20,15,20,16,1180,600,580,1.829236268877216,4,8.9235077485535,4,Gap year,Yes,10800,4,Definitely,0,80,0.8292362688772159,-1,2
CYC2020013,2020,2021-10-18,16,11th,Black or African American,Male,Harding University High School,Yes,"$100,000+",7,Yes,College Prep,No,No,21,23,21,19,22,400,180,220,1.06,3,15,1,Moderate,No reliable access,4-year college,26,28,25,29,28,420,190,230,1.3339946385672221,3,18.289616453414446,3,Enrolled 2-year,Yes,7700,2,Probably,5,20,0.27399463856722206,0,2
CYC2020014,2020,2021-09-04,17,11th,Hispanic/Latino,Female,Butler High School,Yes,"$40,000-$59,999",5,Yes,Career Readiness,Yes,Yes,23,23,23,23,23,1310,690,620,2.23,1,11,5,Strong,Limited access,Community college,25,23,27,27,24,1300,620,680,2.5432902520365275,4,15.379614384447057,6,Enrolled 2-year,No,NA,4,Maybe,2,-10,0.3132902520365275,3,1
CYC2020016,2020,2021-08-20,17,12th,Black or African American,Female,East Mecklenburg High School,Yes,"Under $25,000",4,Yes,College Prep,No,Yes,14,16,16,12,12,760,400,360,1.53,6,1,2,Strong,Limited access,Military,16,16,18,18,18,860,440,420,1.8074335566892166,8,4.000487276596473,4,Enrolled 4-year,Yes,11300,5,Definitely,2,100,0.27743355668921654,2,2
CYC2020017,2020,2021-08-31,15,10th,White,Male,Providence High School,No,"$25,000-$39,999",5,Yes,Career Readiness,No,No,23,20,20,24,22,1190,600,590,3,3,10,4,Limited,Good access,Military,27,26,28,29,28,1230,670,560,3.12991213050709,2,11.825332077044964,8,Trade program,No,NA,5,Definitely,4,40,0.12991213050709005,-1,4
CYC2020018,2020,2021-08-24,17,12th,Black or African American,Male,Providence High School,Yes,"$40,000-$59,999",5,Yes,Intensive Support,No,No,15,15,11,15,16,830,430,400,2.44,10,9,3,Moderate,Good access,Community college,19,17,21,19,17,880,410,470,3.053513592136585,10,10.561105983463777,5,Gap year,No,NA,4,Definitely,4,50,0.6135135921365849,0,2
CYC2020019,2020,2021-10-10,18,12th,Hispanic/Latino,Female,Providence High School,Yes,"$40,000-$59,999",2,Unknown,Career Readiness,No,No,19,17,20,23,17,750,410,340,2.5,9,9,3,Moderate,Limited access,Trade school,20,21,18,22,18,810,440,370,2.7918298925605884,10,10.319997426320729,4,Trade program,Yes,12100,5,Definitely,1,60,0.29182989256058844,1,1
CYC2020021,2020,2021-10-18,17,12th,Black or African American,Female,Ardrey Kell High School,Yes,"$25,000-$39,999",1,No,Intensive Support,No,No,15,16,11,14,15,790,420,370,2.31,2,7,1,Moderate,No reliable access,4-year college,17,19,17,19,18,870,450,420,2.348452792023895,3,12.155331693909565,3,Enrolled 4-year,Yes,1800,4,Probably,2,80,0.038452792023894844,1,2
CYC2020022,2020,2021-10-04,15,10th,Multiracial,Male,Butler High School,Yes,"Under $25,000",4,No,Dual Track,Yes,No,20,22,19,22,17,1260,590,670,1.86,9,7,4,Strong,Good access,Work,24,22,23,22,22,1370,730,640,2.1326583646085306,10,8.69201802679108,5,Enrolled 4-year,No,NA,5,Definitely,4,110,0.27265836460853055,1,1
CYC2020023,2020,2021-08-03,17,12th,Hispanic/Latino,Female,Rocky River High School,Yes,"$25,000-$39,999",3,Yes,Career Readiness,No,Yes,26,29,24,27,24,830,420,410,2.48,1,14,7,Limited,No reliable access,4-year college,28,30,25,28,26,840,460,380,2.8565944542148705,3,16.98404005994923,10,Enrolled 4-year,No,NA,1,Probably,2,10,0.3765944542148705,2,3
CYC2020024,2020,2021-08-18,15,10th,Hispanic/Latino,Female,South Mecklenburg High School,No,"Under $25,000",3,No,Career Readiness,Yes,No,19,16,21,23,19,600,320,280,2.85,7,12,6,None,Good access,4-year college,21,20,18,21,21,700,350,350,3.341304479796171,8,18.016682964798395,9,Gap year,Yes,11800,4,Definitely,2,100,0.49130447979617076,1,3
CYC2020026,2020,2021-08-30,15,10th,Black or African American,Male,Myers Park High School,No,"$25,000-$39,999",3,Yes,College Prep,Yes,N/A,17,16,18,16,20,1270,630,640,2.55,8,13,4,Strong,Limited access,Community college,22,23,21,23,20,1260,680,580,2.9307757606130824,7,15.11357259040944,6,Enrolled 4-year,No,NA,5,Definitely,5,-10,0.3807757606130826,-1,2
CYC2020027,2020,2021-08-08,14,9th,Asian,Male,East Mecklenburg High School,Yes,"Under $25,000",4,Yes,College Prep,No,No,21,20,22,21,19,920,470,450,2.94,4,15,3,Strong,Good access,Undecided,24,26,22,25,25,1000,520,480,3.844959849752724,6,16.908785802269023,3,Enrolled 4-year,No,NA,4,Maybe,3,80,0.904959849752724,2,0
CYC2020028,2020,2021-09-22,16,10th,Asian,Male,Mallard Creek High School,Yes,"$25,000-$39,999",2,No,Intensive Support,No,N/A,17,18,13,20,16,960,500,460,1.48,7,9,3,Limited,No reliable access,Trade school,21,23,18,24,22,1110,560,550,2.0124697959000035,9,8.895308007394334,6,Working,No,NA,5,Definitely,4,150,0.5324697959000035,2,3
CYC2020029,2020,2021-09-03,18,12th,White,Female,Myers Park High School,No,"$60,000-$79,999",2,Yes,Intensive Support,Yes,No,15,15,14,13,18,720,360,360,2.35,5,17,5,Limited,Limited access,Work,19,20,19,18,20,820,390,430,2.9340865106223393,6,20.71148976850858,8,Enrolled 4-year,Yes,11300,5,Definitely,4,100,0.5840865106223392,1,3
CYC2020031,2020,2021-10-15,16,10th,Hispanic/Latino,Male,Providence High School,Yes,"$25,000-$39,999",4,No,Dual Track,No,No,17,18,15,20,19,1060,500,560,3.77,9,20,5,Strong,No reliable access,Work,20,22,18,20,18,1150,570,580,4,8,25.40477410453918,6,Enrolled 2-year,No,NA,5,Maybe,3,90,0.22999999999999998,-1,1
CYC2020032,2020,2021-07-29,17,12th,Hispanic/Latino,Female,Mallard Creek High School,Yes,"$40,000-$59,999",8,No,College Prep,Yes,No,22,21,24,24,21,930,470,460,2.92,8,11,2,None,No reliable access,Community college,27,27,28,27,25,1030,560,470,3.2846542683906566,10,15.118680274850576,5,Enrolled 2-year,No,NA,4,Definitely,5,100,0.3646542683906566,2,3
CYC2020033,2020,2021-09-01,15,9th,Native American,Male,East Mecklenburg High School,No,"$25,000-$39,999",3,Yes,College Prep,Yes,No,20,23,19,21,22,1190,630,560,2.68,4,8,10,Limited,Limited access,4-year college,24,24,21,24,25,1260,610,650,3.2296325036959006,6,10.759505628967228,10,Enrolled 4-year,Yes,10700,2,Definitely,4,70,0.5496325036959004,2,0
CYC2020034,2020,2021-07-15,16,11th,Black or African American,Male,Julius Chambers High School,No,"$25,000-$39,999",2,Yes,College Prep,No,No,21,22,22,22,18,1500,690,810,3.01,7,6,8,None,No reliable access,4-year college,24,26,22,25,24,1600,830,770,3.802775113153591,9,4.085439477074107,10,Trade program,No,NA,5,Definitely,3,100,0.7927751131535912,2,2
CYC2020035,2020,2021-08-16,17,11th,Native American,Non-binary,Mallard Creek High School,Yes,"$80,000-$99,999",2,Yes,Career Readiness,No,Yes,14,15,13,17,11,1350,690,660,2.4,1,13,10,Strong,No reliable access,Community college,17,15,18,18,17,1440,720,720,2.5381924237666107,2,17.894558793722766,10,Enrolled 2-year,No,NA,5,Probably,3,90,0.13819242376661078,1,0
CYC2020036,2020,2021-10-03,16,11th,Other,Male,Independence High School,No,"$25,000-$39,999",3,Yes,Career Readiness,Yes,No,14,12,15,15,14,940,430,510,3.14,6,10,8,Moderate,Limited access,Trade school,18,16,18,16,18,1060,540,520,3.4878431263594223,10,12.793540399625092,10,Enrolled 4-year,No,NA,5,Definitely,4,120,0.34784312635942216,4,2
CYC2020038,2020,2021-09-12,15,10th,Asian,Non-binary,North Mecklenburg High School,No,"$25,000-$39,999",5,Yes,Career Readiness,No,No,20,17,20,24,19,770,380,390,4,4,9,7,None,Good access,Undecided,25,26,22,24,24,880,470,410,4,7,14.268949226615,9,Enrolled 2-year,No,NA,5,Maybe,5,110,0,3,2
CYC2020039,2020,2021-07-24,15,9th,Black or African American,Female,Myers Park High School,Yes,"$25,000-$39,999",1,Yes,College Prep,No,No,22,24,24,24,20,910,440,470,1.25,4,7,7,None,Good access,4-year college,26,26,25,26,26,1050,580,470,1.6780163254289966,7,8.519257814251668,9,Working,Yes,10000,3,Maybe,4,140,0.4280163254289966,3,2
