participant_id,cohort_year,survey_date,age_at_enrollment,grade_level,race_ethnicity,gender,high_school,title_1_school,family_income_range,household_size,first_generation_college,program_track,transportation_barrier,childcare_needs,act_composite_pre,act_english_pre,act_math_pre,act_reading_pre,act_science_pre,sat_total_pre,sat_math_pre,sat_verbal_pre,gpa_pre,college_readiness_self_rating,study_hours_per_week,career_confidence_rating,academic_support_at_home,technology_access,post_secondary_plan
CYC2020001,2020,2020-09-20,15,9th,Black or African American,Female,Ardrey Kell High School,Yes,"$60,000-$79,999",7,Yes,Intensive Support,No,No,21,23,22,20,22,1060,560,500,3.24,8,11,8,Moderate,Good access,4-year college
CYC2020002,2020,2020-10-07,18,12th,Hispanic/Latino,Female,Garinger High School,Yes,"Under $25,000",3,Yes,College Prep,No,No,20,23,22,18,20,830,430,400,2.68,10,4,2,Limited,Good access,Trade school
CYC2020003,2020,2020-08-27,16,11th,Black or African American,Female,North Mecklenburg High School,No,"Under $25,000",1,Yes,College Prep,No,No,14,12,15,12,11,880,450,430,1.93,2,15,6,Strong,No reliable access,Trade school
CYC2020004,2020,2020-09-09,16,11th,Black or African American,Female,Charlotte Catholic High School,No,"$60,000-$79,999",2,Yes,College Prep,No,No,21,24,22,19,20,1330,620,710,2.81,9,14,5,Limited,No reliable access,Trade school
CYC2020005,2020,2020-08-25,18,12th,Black or African American,Female,Independence High School,Yes,"$40,000-$59,999",4,Yes,College Prep,Yes,No,18,15,16,20,20,860,400,460,3.22,7,5,10,Moderate,Limited access,Community college
CYC2020006,2020,2020-09-25,17,11th,Black or African American,Male,Hopewell High School,Yes,"Under $25,000",4,Yes,Dual Track,No,No,17,14,19,15,14,1100,520,580,3.31,5,9,5,None,Good access,4-year college
CYC2020007,2020,2020-10-07,16,10th,Multiracial,Male,South Mecklenburg High School,Yes,"$25,000-$39,999",3,Yes,College Prep,Yes,No,18,18,20,21,16,1200,590,610,2.29,10,8,5,None,Limited access,Work
CYC2020008,2020,2020-10-11,15,10th,Hispanic/Latino,Female,Charlotte Catholic High School,No,"$25,000-$39,999",1,No,Dual Track,Yes,No,19,16,18,20,19,1110,590,520,2.12,2,15,1,Limited,Limited access,Work
CYC2020009,2020,2020-09-29,17,12th,Black or African American,Male,Garinger High School,Yes,"$25,000-$39,999",6,Yes,College Prep,No,No,19,22,21,23,18,1130,580,550,3.57,10,7,5,Moderate,Limited access,Work
CYC2020010,2020,2020-09-23,18,12th,Multiracial,Female,Hopewell High School,No,"Under $25,000",5,Yes,Career Readiness,No,No,23,20,19,23,22,850,430,420,1.93,10,13,5,Limited,Limited access,Work
